W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,S,,,,F(L),,,,,W,,,,,,,,,W
W,,,,,F(L),,,,,W,,,,,,,,,W
W,,,,,F(L),,,,,W,,,,,,,,,W
W,,,,,W,,,,,W,,,,,,,,,W
W,C(U),C(U),C(U),C(U),W,,,,,W,,,,,,,,,W
W,,,,,W,C(D),C(D),C(D),C(D),W,,,,,,,,,W
W,,,,,W,,,,,W,,,,,,,,,W
W,,,,,F(R),,,,,W,,,,,,,,,W
W,,,,,F(R),,,,,W,,,,,,,,,W
W,J(1:1:0:0),,,,F(R),,,,,W,,,,,,,,,W
W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,W
W,,,,,,,,,,,,,,,,,,,W
W,,,,,,,,,,,,,,,,,,,W
W,,,,,,,,,,,,,,,,,,,W
W,,,,,,,,,,,,,,,,,,,W
W,,,,,,,,,,,,,,,,,,,W
W,,,,,,,,,,,,,,,,,,,W
W,,,,,,,,,,,,,,,,,,,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
